178,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,02/01/2014,17/01/2014,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez ,Isabel Jawasa G.,1,03/07/2014 01:14,14-120B-PS-I-I04-20123486,14-120B-PS-II-083-2012,4789
179,Aceites lubricantes usados,RPM/01,100,Kg,Toxico ,Mantenimiento,18/06/2014,27/06/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Harín Paul Ayala,1,06/02/2015 16:38,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,85
180,Aceites lubricantes usados,RPM/01,200,Kg,Toxico Inflamable ,Mantenimiento,06/02/2013,15/02/2013,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez,Miguel Ángel Vázquez,1,20/10/2014 23:20,14-120B-PS-II-104-2012,14-120B-PS-II-083-2012,3136
181,Aceites lubricantes usados,RPM/01,150,Kg,Toxico Inflamable ,Mantenimiento,06/05/2013,17/05/2013,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez,Miguel Ángel Vázquez,1,20/10/2014 23:24,14-120B-PS-I-104-2012,14-120B-PS-II-083-2012,3494-A
182,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,02/09/2013,09/09/2013,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez,Miguel Ángel Vázquez,1,20/10/2014 23:28,14-120B-PS-I-104-2012,14-120B-PS-II-083-2012,4169-A
183,Sólidos de mantenimiento automotriz,SO2,80,Kg,Toxico Inflamable ,Mantenimiento,06/09/2013,09/09/2013,Recuperación,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez,Miguel Ángel Vázquez,1,20/10/2014 23:37,14-120B-PS-I-104-2012,14-120B-PS-II-083-2012,0760B
184,Aceites lubricantes usados,RPM/01,600,Kg,Toxico Inflamable ,Mantenimiento,01/04/2014,10/04/2014,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez,Miguel Ángel Vázquez,1,20/10/2014 23:36,14-120B-PS-I-104-2012,14-120B-PS-II-083-2012,4749-A
185,Aceites lubricantes usados,RPM/01,920,Kg,Toxico Inflamable ,Mantenimiento,18/09/2014,17/10/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Miguel Ángel Vázquez,1,20/10/2014 23:41,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,113
186,Telas o pieles impregnadas de residuos peligrosos,SO1,4,Kg,Toxico Inflamable ,Mantenimiento,30/05/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,17/12/2014 18:20,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
187,Sólidos impregnados con sustancias químicas,SO4,2,Kg,Toxico ,Laboratorio,30/05/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 14:55,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
188,Sólidos impregnados con pintura,SO4,5,Kg,Toxico ,Mantenimiento,30/05/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 14:57,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
189,Telas o pieles impregnadas de residuos peligrosos,SO1,5,Kg,Toxico ,Mantenimiento,06/06/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 14:59,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
190,Sólidos impregnados con sustancias químicas,SO4,2,Kg,Toxico ,Laboratorio,06/06/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:00,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
191,Sólidos impregnados con pintura,SO4,4,Kg,Toxico ,Mantenimiento,06/06/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:01,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
192,Telas o pieles impregnadas de residuos peligrosos,SO1,5,Kg,Toxico ,Mantenimiento,13/06/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:04,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
193,Sólidos impregnados con pintura,SO4,5,Kg,Toxico ,Mantenimiento,13/06/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:05,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
194,Sólidos impregnados con sustancias químicas,SO4,3,Kg,Toxico ,Laboratorio,20/06/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:07,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
195,Telas o pieles impregnadas de residuos peligrosos,SO1,6,Kg,Toxico ,Mantenimiento,20/06/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:08,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
196,Sólidos impregnados con pintura,SO4,6,Kg,Toxico ,Mantenimiento,20/06/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:09,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
197,Telas o pieles impregnadas de residuos peligrosos,SO1,6,Kg,Toxico ,Mantenimiento,27/06/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:10,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
198,Sólidos impregnados con pintura,SO4,3,Kg,Toxico ,Mantenimiento,27/06/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:11,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
199,Sólidos impregnados con sustancias químicas,SO4,3,Kg,Toxico ,Laboratorio,04/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:12,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
200,Telas o pieles impregnadas de residuos peligrosos,SO1,5,Kg,Toxico ,Mantenimiento,04/07/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:13,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
201,Sólidos impregnados con pintura,SO4,6,Kg,Toxico ,Mantenimiento,04/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:14,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
202,Telas o pieles impregnadas de residuos peligrosos,SO1,5,Kg,Toxico ,Mantenimiento,11/07/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:16,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
203,Sólidos impregnados con pintura,SO4,6,Kg,Toxico ,Mantenimiento,11/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:17,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
204,Sólidos impregnados con sustancias químicas,SO4,3,Kg,Toxico ,Laboratorio,18/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:19,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
205,Sólidos impregnados con pintura,SO4,5,Kg,Toxico ,Mantenimiento,18/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:20,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
206,Telas o pieles impregnadas de residuos peligrosos,SO1,4,Kg,Toxico ,Mantenimiento,18/07/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:20,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
207,Telas o pieles impregnadas de residuos peligrosos,SO1,5,Kg,Toxico ,Mantenimiento,25/07/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:31,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
208,Sólidos impregnados con pintura,SO4,5,Kg,Toxico ,Mantenimiento,25/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:32,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
209,Sólidos impregnados con sustancias químicas,SO4,3,Kg,Toxico ,Laboratorio,31/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:33,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
210,Telas o pieles impregnadas de residuos peligrosos,SO1,5,Kg,Toxico ,Mantenimiento,31/07/2014,01/08/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:35,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
211,Sólidos impregnados con pintura,SO4,5,Kg,Toxico ,Mantenimiento,31/07/2014,01/08/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 15:36,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,101
212,Sólidos impregnados con pintura,SO4,6,Kg,Toxico ,Mantenimiento,08/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 16:54,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
213,Lámparas fluorescentes y de vapor de mercurio,RPM/06,1,Kg,Toxico ,Mantenimiento,08/08/2014,11/12/2014,Coprocesamiento,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 16:57,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
214,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico ,Laboratorio,08/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 16:58,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
215,Sustancias corrosivas  ácidos,C1,20,Kg,Toxico Corrosivo ,Laboratorio,08/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:00,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
216,Telas o pieles impregnadas de residuos peligrosos,SO1,7,Kg,Toxico ,Mantenimiento,15/08/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:02,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
217,Sólidos impregnados con pintura,SO4,15,Kg,Toxico ,Mantenimiento,15/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:04,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
218,Sustancias corrosivas  álcalis,C2,1,Kg,Toxico Corrosivo ,Laboratorio,15/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:05,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
219,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico ,Laboratorio,22/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:07,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
220,Telas o pieles impregnadas de residuos peligrosos,SO1,6,Kg,Toxico ,Mantenimiento,29/08/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:13,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
221,Sólidos impregnados con pintura,SO4,13,Kg,Toxico ,Mantenimiento,29/08/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:14,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
222,Sólidos impregnados con sustancias químicas,SO4,6,Kg,Toxico ,Laboratorio,05/09/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:14,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
223,Sustancias corrosivas  ácidos,C1,30,Kg,Toxico Corrosivo ,Laboratorio,05/09/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:11,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
224,Telas o pieles impregnadas de residuos peligrosos,SO1,7,Kg,Toxico ,Mantenimiento,12/09/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:15,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
225,Sólidos impregnados con pintura,SO4,10,Kg,Toxico ,Mantenimiento,12/09/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:16,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
226,Sustancias corrosivas  álcalis,C2,2,Kg,Toxico Corrosivo ,Laboratorio,12/09/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:18,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
227,Sólidos impregnados con sustancias químicas,SO4,6,Kg,Toxico ,Laboratorio,19/09/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:19,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
228,Telas o pieles impregnadas de residuos peligrosos,SO1,8,Kg,Toxico ,Mantenimiento,26/09/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:40,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
229,Sólidos impregnados con pintura,SO4,10,Kg,Toxico ,Mantenimiento,26/09/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:41,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
230,Lámparas fluorescentes y de vapor de mercurio,RPM/06,1,Kg,Toxico ,Mantenimiento,26/09/2014,11/12/2014,Coprocesamiento,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 17:43,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
231,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico ,Laboratorio,03/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:40,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
232,Sustancias corrosivas  álcalis,C2,2,Kg,Toxico Corrosivo ,Laboratorio,03/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:41,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
233,Sustancias corrosivas  ácidos,C1,20,Kg,Toxico Corrosivo ,Laboratorio,03/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:42,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
234,Telas o pieles impregnadas de residuos peligrosos,SO1,6,Kg,Toxico ,Mantenimiento,10/10/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:43,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
235,Sólidos impregnados con pintura,SO4,12,Kg,Toxico ,Mantenimiento,10/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:43,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
236,Sólidos impregnados con sustancias químicas,SO4,6,Kg,Toxico ,Laboratorio,17/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:45,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
237,Telas o pieles impregnadas de residuos peligrosos,SO1,6,Kg,Toxico ,Mantenimiento,24/10/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:45,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
238,Sólidos impregnados con pintura,SO4,15,Kg,Toxico ,Mantenimiento,24/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,,Lourdes Juárez,1,18/12/2014 18:48,06-10-PS-I-01-2011,,124
239,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico ,Laboratorio,31/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:47,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
240,Sustancias corrosivas  álcalis,C2,2,Kg,Toxico Corrosivo ,Laboratorio,31/10/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:49,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
241,Telas o pieles impregnadas de residuos peligrosos,SO1,7,Kg,Toxico ,Mantenimiento,07/11/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:50,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
242,Sólidos impregnados con pintura,SO4,13,Kg,Toxico ,Mantenimiento,07/11/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:51,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
243,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico ,Laboratorio,14/11/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:53,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
244,Sustancias corrosivas  ácidos,C1,30,Kg,Toxico Corrosivo ,Laboratorio,14/11/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:54,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
245,Telas o pieles impregnadas de residuos peligrosos,SO1,6,Kg,Toxico ,Mantenimiento,21/11/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:54,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
246,Sólidos impregnados con pintura,SO4,15,Kg,Toxico ,Mantenimiento,21/11/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:55,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
247,Sustancias corrosivas  álcalis,C2,2,Kg,Toxico Corrosivo ,Laboratorio,21/11/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 18:58,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
248,Sólidos impregnados con sustancias químicas,SO4,6,Kg,Toxico ,Laboratorio,28/11/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:00,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
249,Telas o pieles impregnadas de residuos peligrosos,SO1,7,Kg,Toxico ,Mantenimiento,05/12/2014,11/12/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:01,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
250,Sólidos impregnados con pintura,SO4,13,Kg,Toxico ,Mantenimiento,05/12/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:06,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
251,Sólidos impregnados con pintura,SO4,8,Kg,Toxico ,Mantenimiento,10/12/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:11,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
252,Lámparas fluorescentes y de vapor de mercurio,RPM/06,1,Kg,Toxico ,Mantenimiento,10/12/2014,11/12/2014,Coprocesamiento,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:13,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
253,Sólidos impregnados con sustancias químicas,SO4,7,Kg,Toxico ,Laboratorio,10/12/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:16,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
254,Sustancias corrosivas  álcalis,C2,1,Kg,Toxico Corrosivo ,Laboratorio,10/12/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:17,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
255,Sustancias corrosivas  ácidos,C1,25,Kg,Toxico Corrosivo ,Laboratorio,10/12/2014,11/12/2014,Neutralización,Ricardo Díaz Virgen,Francisco Serrano Lomeli,Lourdes Juárez,1,18/12/2014 19:18,06-10-PS-I-01-2011,14-030B-PS-ll-43-07,124
256,Aceites lubricantes usados,RPM/01,80,Kg,Toxico Inflamable ,Mantenimiento,30/04/2014,22/05/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:35,014-002-682-95,14-98B-PS-ll-18-03,10954
257,Sólidos de mantenimiento automotriz,SO2,8,Kg,Toxico ,Mantenimiento,30/04/2014,22/05/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:46,014-002-682-95,14-98B-PS-ll-18-03,10954
258,Aceites lubricantes usados,RPM/01,100,Kg,Toxico Inflamable ,Mantenimiento,07/05/2014,22/05/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:45,014-002-682-95,14-98B-PS-ll-18-03,10954
259,Sólidos de mantenimiento automotriz,SO2,7,Kg,Toxico ,Mantenimiento,07/05/2014,22/05/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:47,014-002-682-95,14-98B-PS-ll-18-03,10954
260,Aceites lubricantes usados,RPM/01,100,Kg,Toxico Inflamable ,Mantenimiento,14/05/2014,22/05/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:52,014-002-682-95,14-98B-PS-ll-18-03,10954
261,Sólidos de mantenimiento automotriz,SO2,7,Kg,Toxico ,Mantenimiento,14/05/2014,22/05/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:53,014-002-682-95,14-98B-PS-ll-18-03,10954
262,Aceites lubricantes usados,RPM/01,70,Kg,Toxico Inflamable ,Mantenimiento,21/05/2014,22/05/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:55,014-002-682-95,14-98B-PS-ll-18-03,10954
263,Sólidos de mantenimiento automotriz,SO2,8,Kg,Toxico ,Mantenimiento,21/05/2014,22/05/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 19:56,014-002-682-95,14-98B-PS-ll-18-03,10954
264,Aceites lubricantes usados,RPM/01,40,Kg,Toxico Inflamable ,Mantenimiento,28/05/2014,27/06/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:49,014-002-682-95,14-98B-PS-ll-18-03,11037
265,Sólidos de mantenimiento automotriz,SO2,5,Kg,Toxico ,Mantenimiento,28/05/2014,27/06/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:50,014-002-682-95,14-98B-PS-ll-18-03,11037
266,Aceites lubricantes usados,RPM/01,35,Kg,Toxico Inflamable ,Mantenimiento,04/06/2014,27/06/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:51,014-002-682-95,14-98B-PS-ll-18-03,11037
267,Sólidos de mantenimiento automotriz,SO2,3,Kg,Toxico ,Mantenimiento,04/06/2014,27/06/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:51,014-002-682-95,14-98B-PS-ll-18-03,11037
268,Aceites lubricantes usados,RPM/01,45,Kg,Toxico Inflamable ,Mantenimiento,11/06/2014,27/06/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:52,014-002-682-95,14-98B-PS-ll-18-03,11037
269,Sólidos de mantenimiento automotriz,SO2,5,Kg,Toxico ,Mantenimiento,11/06/2014,27/06/2014,Fundición para metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:53,014-002-682-95,14-98B-PS-ll-18-03,11037
270,Aceites lubricantes usados,RPM/01,40,Kg,Toxico Inflamable ,Mantenimiento,18/06/2014,27/06/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,19/12/2014 20:54,014-002-682-95,14-98B-PS-ll-18-03,11037
